category_id,category_name,category_slug,seo_title,meta_description,focus_keyword,category_url
1993,Toilets & Bidets,toilets-bidets,Shop Toilets & Bidets | Latest Trends & Affordable Prices,"Browse our premium collection of toilets & bidets. Shop top styles, quality brands, and exclusive deals online today!","['toilets & bidets', 'buy toilets & bidets', 'toilets & bidets online']",https://pay.4more.ca/product-category/toilets-bidets/
1911,Outdoor Furniture,outdoor-furniture,Shop Outdoor Furniture | Latest Trends & Affordable Prices,"Browse our premium collection of outdoor furniture. Shop top styles, quality brands, and exclusive deals online today!","['outdoor furniture', 'buy outdoor furniture', 'outdoor furniture online']",https://pay.4more.ca/product-category/outdoor-furniture/
3268,Cleaning Tools & Equipment,cleaning-tools-equipment,Essential Cleaning Tools & Equipment | 2025 Buyer's Guide,"Clean smarter, not harder. Our 2025 buyer's guide reviews the best vacuum cleaners, steam mops, microfiber cloths, and other essential cleaning tools.","['cleaning tools', 'cleaning equipment', 'best vacuum cleaner 2025', 'mops and brooms', 'robotic vacuums', 'microfiber cleaning cloths.']",https://pay.4more.ca/product-category/cleaning-tools-equipment/
2020,Doors & Windows,doors-windows,Shop Doors & Windows | Latest Trends & Affordable Prices,"Browse our premium collection of doors & windows. Shop top styles, quality brands, and exclusive deals online today!","['doors & windows', 'buy doors & windows', 'doors & windows online']",https://pay.4more.ca/product-category/doors-windows/
2035,Smart Entertainment,smart-entertainment,Shop Smart Entertainment | Latest Trends & Affordable Prices,"Browse our premium collection of smart entertainment. Shop top styles, quality brands, and exclusive deals online today!","['smart entertainment', 'buy smart entertainment', 'smart entertainment online']",https://pay.4more.ca/product-category/smart-entertainment/
1916,Mirrors,mirrors,Shop Mirrors | Latest Trends & Affordable Prices,"Browse our premium collection of mirrors. Shop top styles, quality brands, and exclusive deals online today!","['mirrors', 'buy mirrors', 'mirrors online']",https://pay.4more.ca/product-category/mirrors/
3242,Team Sports,team-sports,Shop Team Sports | Latest Trends & Affordable Prices,"Browse our premium collection of team sports. Shop top styles, quality brands, and exclusive deals online today!","['team sports', 'buy team sports', 'team sports online']",https://pay.4more.ca/product-category/team-sports/
1939,Books & Media,books-media,Shop Books & Media | Latest Trends & Affordable Prices,"Browse our premium collection of books & media. Shop top styles, quality brands, and exclusive deals online today!","['books & media', 'buy books & media', 'books & media online']",https://pay.4more.ca/product-category/books-media/
3269,Waste Management (Trash Cans & Liners),waste-management-trash-cans-liners,A Guide to Trash Cans & Liners in Oakville & Halton (2025),"Find the best kitchen trash cans, recycling bins, and compost pails for your home. Our 2025 guide helps Oakville & Halton residents choose the right products.","['kitchen trash can', 'recycling bin', 'compost bin', 'trash can liners', 'best trash bags', 'dual compartment trash can', 'waste management Halton Region', 'compostable bags Oakville']",https://pay.4more.ca/product-category/waste-management-trash-cans-liners/
3300,"Disinfectants & Sanitizers (Sprays, Wipes)",disinfectants-sanitizers-sprays-wipes,Glass & Window Cleaners - Shop Now,Shop Glass & Window Cleaners and more. Discover a wide range of Bathroom Toilet Cleaners within our Household Cleaners selection. Browse the best Bathroom Toilet Cleaners available.,['glass*&*window_cleaners'],https://pay.4more.ca/product-category/disinfectants-sanitizers-sprays-wipes/
1982,Exterior Paint,exterior-paint,Shop Exterior Paint | Latest Trends & Affordable Prices,"Browse our premium collection of exterior paint. Shop top styles, quality brands, and exclusive deals online today!","['exterior paint', 'buy exterior paint', 'exterior paint online']",https://pay.4more.ca/product-category/exterior-paint/
3243,Dress Up & Pretend Play,dress-up-pretend-play,Shop Dress Up & Pretend Play | Latest Trends & Affordable Prices,"Browse our premium collection of dress up & pretend play. Shop top styles, quality brands, and exclusive deals online today!","['dress up & pretend play', 'buy dress up & pretend play', 'dress up & pretend play online']",https://pay.4more.ca/product-category/dress-up-pretend-play/
1918,Kitchen & Dining,kitchen-dining,Shop Kitchen & Dining | Latest Trends & Affordable Prices,"Browse our premium collection of kitchen & dining. Shop top styles, quality brands, and exclusive deals online today!","['kitchen & dining', 'buy kitchen & dining', 'kitchen & dining online']",https://pay.4more.ca/product-category/kitchen-dining/
2047,Arts & Crafts,arts-crafts,Shop Arts & Crafts | Latest Trends & Affordable Prices,"Browse our premium collection of arts & crafts. Shop top styles, quality brands, and exclusive deals online today!","['arts & crafts', 'buy arts & crafts', 'arts & crafts online']",https://pay.4more.ca/product-category/arts-crafts/
1967,Grinders,grinders,Shop Grinders | Latest Trends & Affordable Prices,"Browse our premium collection of grinders. Shop top styles, quality brands, and exclusive deals online today!","['grinders', 'buy grinders', 'grinders online']",https://pay.4more.ca/product-category/grinders/
2074,Office Machines,office-machines,Shop Office Machines | Latest Trends & Affordable Prices,"Browse our premium collection of office machines. Shop top styles, quality brands, and exclusive deals online today!","['office machines', 'buy office machines', 'office machines online']",https://pay.4more.ca/product-category/office-machines/
1907,Living Room,living-room,Shop Living Room | Latest Trends & Affordable Prices,"Browse our premium collection of living room. Shop top styles, quality brands, and exclusive deals online today!","['living room', 'buy living room', 'living room online']",https://pay.4more.ca/product-category/living-room/
1922,Appliances,appliances,Shop Appliances | Latest Trends & Affordable Prices,"Browse our premium collection of appliances. Shop top styles, quality brands, and exclusive deals online today!","['appliances', 'buy appliances', 'appliances online']",https://pay.4more.ca/product-category/appliances/
2007,Carpet,carpet,Shop Carpet | Latest Trends & Affordable Prices,"Browse our premium collection of carpet. Shop top styles, quality brands, and exclusive deals online today!","['carpet', 'buy carpet', 'carpet online']",https://pay.4more.ca/product-category/carpet/
1964,Hand Tools,hand-tools,Shop Hand Tools | Latest Trends & Affordable Prices,"Browse our premium collection of hand tools. Shop top styles, quality brands, and exclusive deals online today!","['hand tools', 'buy hand tools', 'hand tools online']",https://pay.4more.ca/product-category/hand-tools/
1941,Movies & TV,movies-tv,Shop Movies & TV | Latest Trends & Affordable Prices,"Browse our premium collection of movies & tv. Shop top styles, quality brands, and exclusive deals online today!","['movies & tv', 'buy movies & tv', 'movies & tv online']",https://pay.4more.ca/product-category/movies-tv/
2004,Hardwood Flooring,hardwood-flooring,Shop Hardwood Flooring | Latest Trends & Affordable Prices,"Browse our premium collection of hardwood flooring. Shop top styles, quality brands, and exclusive deals online today!","['hardwood flooring', 'buy hardwood flooring', 'hardwood flooring online']",https://pay.4more.ca/product-category/hardwood-flooring/
1936,Sports Equipment,sports-equipment,Shop Sports Equipment | Latest Trends & Affordable Prices,"Browse our premium collection of sports equipment. Shop top styles, quality brands, and exclusive deals online today!","['sports equipment', 'buy sports equipment', 'sports equipment online']",https://pay.4more.ca/product-category/sports-equipment/
1923,Bedding,bedding,Shop Bedding | Latest Trends & Affordable Prices,"Browse our premium collection of bedding. Shop top styles, quality brands, and exclusive deals online today!","['bedding', 'buy bedding', 'bedding online']",https://pay.4more.ca/product-category/bedding/
1987,Door Hardware,door-hardware,Shop Door Hardware | Latest Trends & Affordable Prices,"Browse our premium collection of door hardware. Shop top styles, quality brands, and exclusive deals online today!","['door hardware', 'buy door hardware', 'door hardware online']",https://pay.4more.ca/product-category/door-hardware/
3301,Storage Boxes,storage-boxes,Shop Storage Boxes | Latest Trends & Affordable Prices,"Browse our premium collection of storage boxes. Shop top styles, quality brands, and exclusive deals online today!","['storage boxes', 'buy storage boxes', 'storage boxes online']",https://pay.4more.ca/product-category/storage-boxes/
2146,Baby Clothing,baby-clothing,Shop Baby Clothing | Latest Trends & Affordable Prices,"Browse our premium collection of baby clothing. Shop top styles, quality brands, and exclusive deals online today!","['baby clothing', 'buy baby clothing', 'baby clothing online']",https://pay.4more.ca/product-category/baby-clothing/
2003,Flooring,flooring,Shop Flooring | Latest Trends & Affordable Prices,"Browse our premium collection of flooring. Shop top styles, quality brands, and exclusive deals online today!","['flooring', 'buy flooring', 'flooring online']",https://pay.4more.ca/product-category/flooring/
1959,Roofing,roofing,Shop Roofing | Latest Trends & Affordable Prices,"Browse our premium collection of roofing. Shop top styles, quality brands, and exclusive deals online today!","['roofing', 'buy roofing', 'roofing online']",https://pay.4more.ca/product-category/roofing/
3261,Accessories,accessories,Shop Accessories | Latest Trends & Affordable Prices,"Browse our premium collection of accessories. Shop top styles, quality brands, and exclusive deals online today!","['accessories', 'buy accessories', 'accessories online']",https://pay.4more.ca/product-category/accessories/
1983,Primers,primers,Shop Primers | Latest Trends & Affordable Prices,"Browse our premium collection of primers. Shop top styles, quality brands, and exclusive deals online today!","['primers', 'buy primers', 'primers online']",https://pay.4more.ca/product-category/primers/
3270,Swim Accessories,swim-accessories,Shop Swimming Fun | Latest Trends & Affordable Prices,"Browse our premium collection of swimming fun. Shop top styles, quality brands, and exclusive deals online today!","['swimming fun', 'buy swimming fun', 'swimming fun online']",https://pay.4more.ca/product-category/swim-accessories/
2033,Smart Security & Surveillance,smart-security-surveillance,Shop Smart Security & Surveillance | Latest Trends & Affordable Prices,"Browse our premium collection of smart security & surveillance. Shop top styles, quality brands, and exclusive deals online today!","['smart security & surveillance', 'buy smart security & surveillance', 'smart security & surveillance online']",https://pay.4more.ca/product-category/smart-security-surveillance/
3260,Apparel & Accessories,apparel-accessories,Shop Stylish Apparel & Accessories | Trendy Fashion for Women,"Discover top-quality apparel and accessories for every style. Shop the latest trends in womenâ€™s fashion including outfits, bags, shoes, and more. Elevate your look today!",['fashion accessories'],https://pay.4more.ca/product-category/apparel-accessories/
3259,Tools Storage,tools-storage,Shop Tools Storage | Latest Trends & Affordable Prices,"Browse our premium collection of tools storage. Shop top styles, quality brands, and exclusive deals online today!","['tools storage', 'buy tools storage', 'tools storage online']",https://pay.4more.ca/product-category/tools-storage/
1981,Interior Paint,interior-paint,Shop Interior Paint | Latest Trends & Affordable Prices,"Browse our premium collection of interior paint. Shop top styles, quality brands, and exclusive deals online today!","['interior paint', 'buy interior paint', 'interior paint online']",https://pay.4more.ca/product-category/interior-paint/
3244,Sports Technology,sports-technology,Shop Sports Technology | Latest Trends & Affordable Prices,"Browse our premium collection of sports technology. Shop top styles, quality brands, and exclusive deals online today!","['sports technology', 'buy sports technology', 'sports technology online']",https://pay.4more.ca/product-category/sports-technology/
3271,Vacuum Cleaners & Floor Cleaning Machines,vacuum-cleaners-floor-cleaning-machines,The Ultimate Guide to Vacuum Cleaners & Floor Machines (2025),"From upright and robotic vacuums to carpet cleaners and steam mops, our 2025 guide helps you choose the best floor cleaning machine for your home.","['best vacuum cleaner', 'upright vs canister vacuum', 'cordless stick vacuum', 'robotic vacuum', 'carpet cleaner machine', 'steam mop', 'HEPA filter vacuum', 'vacuum cleaner for pet hair']",https://pay.4more.ca/product-category/vacuum-cleaners-floor-cleaning-machines/
1894,Electronics,electronics,Shop Electronics | Latest Trends & Affordable Prices,"Browse our premium collection of electronics. Shop top styles, quality brands, and exclusive deals online today!","['electronics', 'buy electronics', 'electronics online']",https://pay.4more.ca/product-category/electronics/
2155,Baby Health,baby-health,Shop Baby Health | Latest Trends & Affordable Prices,"Browse our premium collection of baby health. Shop top styles, quality brands, and exclusive deals online today!","['baby health', 'buy baby health', 'baby health online']",https://pay.4more.ca/product-category/baby-health/
2010,Cabinets,cabinets,Shop Cabinets | Latest Trends & Affordable Prices,"Browse our premium collection of cabinets. Shop top styles, quality brands, and exclusive deals online today!","['cabinets', 'buy cabinets', 'cabinets online']",https://pay.4more.ca/product-category/cabinets/
3303,Furniture Cleaners & Dusting Products,furniture-cleaners-dusting-products,"Disinfectants & Sanitizers (Sprays, Wipes) - Shop Now","Shop Disinfectants & Sanitizers (Sprays, Wipes) and more. Discover a wide range of Tile & Grout Cleaners within our Household Cleaners selection. Browse the best Tile & Grout Cleaners available.","['disinfectants\\*&*sanitizers*(sprays', '\\_wipes)']",https://pay.4more.ca/product-category/furniture-cleaners-dusting-products/
1920,Bakeware,bakeware,Shop Bakeware | Latest Trends & Affordable Prices,"Browse our premium collection of bakeware. Shop top styles, quality brands, and exclusive deals online today!","['bakeware', 'buy bakeware', 'bakeware online']",https://pay.4more.ca/product-category/bakeware/
1948,Building Toys,building-toys,Shop Building Toys | Latest Trends & Affordable Prices,"Browse our premium collection of building toys. Shop top styles, quality brands, and exclusive deals online today!","['building toys', 'buy building toys', 'building toys online']",https://pay.4more.ca/product-category/building-toys/
2044,Fish & Aquariums,fish-aquariums,Shop Fish & Aquariums | Latest Trends & Affordable Prices,"Browse our premium collection of fish & aquariums. Shop top styles, quality brands, and exclusive deals online today!","['fish & aquariums', 'buy fish & aquariums', 'fish & aquariums online']",https://pay.4more.ca/product-category/fish-aquariums/
3304,"Bathroom & Toilet Cleaners (including Shower, Tile & Grout)",bathroom-toilet-cleaners-including-shower-tile-grout,"Bathroom & Toilet Cleaners (including Shower, Tile & Grout)","Tackle soap scum, hard water stains, and mildew with our 2025 guide. Find the best cleaners for your toilet, shower, tile, and grout for a sparkling clean.","['bathroom cleaner', 'best toilet bowl cleaner', 'shower cleaner', 'how to clean grout', 'tile cleaner', 'soap scum remover', 'mold and mildew remover', 'disinfecting bathroom spray']",https://pay.4more.ca/product-category/bathroom-toilet-cleaners-including-shower-tile-grout/
1897,TV & Home Theater,tv-home-theater,Shop TV & Home Theater | Latest Trends & Affordable Prices,"Browse our premium collection of tv & home theater. Shop top styles, quality brands, and exclusive deals online today!","['tv & home theater', 'buy tv & home theater', 'tv & home theater online']",https://pay.4more.ca/product-category/tv-home-theater/
1921,Dinnerware,dinnerware,Shop Dinnerware | Latest Trends & Affordable Prices,"Browse our premium collection of dinnerware. Shop top styles, quality brands, and exclusive deals online today!","['dinnerware', 'buy dinnerware', 'dinnerware online']",https://pay.4more.ca/product-category/dinnerware/
1958,Drywall & Cement,drywall-cement,Shop Drywall & Cement | Latest Trends & Affordable Prices,"Browse our premium collection of drywall & cement. Shop top styles, quality brands, and exclusive deals online today!","['drywall & cement', 'buy drywall & cement', 'drywall & cement online']",https://pay.4more.ca/product-category/drywall-cement/
1934,Outdoor Recreation,outdoor-recreation,Shop Outdoor Recreation | Latest Trends & Affordable Prices,"Browse our premium collection of outdoor recreation. Shop top styles, quality brands, and exclusive deals online today!","['outdoor recreation', 'buy outdoor recreation', 'outdoor recreation online']",https://pay.4more.ca/product-category/outdoor-recreation/
2036,Smart Home Hubs & Assistants,smart-home-hubs-assistants,Shop Smart Home Hubs & Assistants | Latest Trends & Affordable Prices,"Browse our premium collection of smart home hubs & assistants. Shop top styles, quality brands, and exclusive deals online today!","['smart home hubs & assistants', 'buy smart home hubs & assistants', 'smart home hubs & assistants online']",https://pay.4more.ca/product-category/smart-home-hubs-assistants/
1924,Storage,storage,Shop Storage | Latest Trends & Affordable Prices,"Browse our premium collection of storage. Shop top styles, quality brands, and exclusive deals online today!","['storage', 'buy storage', 'storage online']",https://pay.4more.ca/product-category/storage/
3245,Action Sports,action-sports,Shop Action Sports | Latest Trends & Affordable Prices,"Browse our premium collection of action sports. Shop top styles, quality brands, and exclusive deals online today!","['action sports', 'buy action sports', 'action sports online']",https://pay.4more.ca/product-category/action-sports/
3306,Dairy & Eggs,dairy-eggs,Shop Dairy & Eggs | Latest Trends & Affordable Prices,"Browse our premium collection of dairy & eggs. Shop top styles, quality brands, and exclusive deals online today!","['dairy & eggs', 'buy dairy & eggs', 'dairy & eggs online']",https://pay.4more.ca/product-category/dairy-eggs/
1988,Cabinet Hardware,cabinet-hardware,Shop Cabinet Hardware | Latest Trends & Affordable Prices,"Browse our premium collection of cabinet hardware. Shop top styles, quality brands, and exclusive deals online today!","['cabinet hardware', 'buy cabinet hardware', 'cabinet hardware online']",https://pay.4more.ca/product-category/cabinet-hardware/
2052,Printer Paper,printer-paper,Shop Printer Paper | Latest Trends & Affordable Prices,"Browse our premium collection of printer paper. Shop top styles, quality brands, and exclusive deals online today!","['printer paper', 'buy printer paper', 'printer paper online']",https://pay.4more.ca/product-category/printer-paper/
2038,Smart Plugs & Outlets,smart-plugs-outlets,Shop Smart Plugs & Outlets | Latest Trends & Affordable Prices,"Browse our premium collection of smart plugs & outlets. Shop top styles, quality brands, and exclusive deals online today!","['smart plugs & outlets', 'buy smart plugs & outlets', 'smart plugs & outlets online']",https://pay.4more.ca/product-category/smart-plugs-outlets/
3307,Calendars & Planners,calendars-planners,Shop Calendars & Planners | Latest Trends & Affordable Prices,"Browse our premium collection of calendars & planners. Shop top styles, quality brands, and exclusive deals online today!","['calendars & planners', 'buy calendars & planners', 'calendars & planners online']",https://pay.4more.ca/product-category/calendars-planners/
2053,Notebooks & Pads,notebooks-pads,Shop Notebooks & Pads | Latest Trends & Affordable Prices,"Browse our premium collection of notebooks & pads. Shop top styles, quality brands, and exclusive deals online today!","['notebooks & pads', 'buy notebooks & pads', 'notebooks & pads online']",https://pay.4more.ca/product-category/notebooks-pads/
2144,Diapering,diapering,Shop Diapering | Latest Trends & Affordable Prices,"Browse our premium collection of diapering. Shop top styles, quality brands, and exclusive deals online today!","['diapering', 'buy diapering', 'diapering online']",https://pay.4more.ca/product-category/diapering/
1942,Music,music,Shop Music | Latest Trends & Affordable Prices,"Browse our premium collection of music. Shop top styles, quality brands, and exclusive deals online today!","['music', 'buy music', 'music online']",https://pay.4more.ca/product-category/music/
3262,Kids' Clothing,kids-clothing,Shop Kids' Clothing | Latest Trends & Affordable Prices,"Browse our premium collection of kids' clothing. Shop top styles, quality brands, and exclusive deals online today!","[""kids' clothing"", ""buy kids' clothing"", ""kids' clothing online""]",https://pay.4more.ca/product-category/kids-clothing/
3308,Binders & Dividers,binders-dividers,Shop Binders & Dividers | Latest Trends & Affordable Prices,"Browse our premium collection of binders & dividers. Shop top styles, quality brands, and exclusive deals online today!","['binders & dividers', 'buy binders & dividers', 'binders & dividers online']",https://pay.4more.ca/product-category/binders-dividers/
2039,Smart Garden & Outdoor,smart-garden-outdoor,Shop Smart Garden & Outdoor | Latest Trends & Affordable Prices,"Browse our premium collection of smart garden & outdoor. Shop top styles, quality brands, and exclusive deals online today!","['smart garden & outdoor', 'buy smart garden & outdoor', 'smart garden & outdoor online']",https://pay.4more.ca/product-category/smart-garden-outdoor/
3294,Grocery & Food,grocery-food,Shop Grocery & Food | Latest Trends & Affordable Prices,"Browse our premium collection of grocery & food. Shop top styles, quality brands, and exclusive deals online today!","['grocery & food', 'buy grocery & food', 'grocery & food online']",https://pay.4more.ca/product-category/grocery-food/
3263,Women's Clothing,womens-clothing,Shop Women's Clothing | Latest Trends & Affordable Prices,"Browse our premium collection of women's clothing. Shop top styles, quality brands, and exclusive deals online today!","[""women's clothing"", ""buy women's clothing"", ""women's clothing online""]",https://pay.4more.ca/product-category/womens-clothing/
1940,Books,books,Shop Books | Latest Trends & Affordable Prices,"Browse our premium collection of books. Shop top styles, quality brands, and exclusive deals online today!","['books', 'buy books', 'books online']",https://pay.4more.ca/product-category/books/
3273,General Household Cleaning,general-household-cleaning,General Household Cleaning - Shop Now,Shop General Household Cleaning and more. Discover a wide range of Household Cleaners within our Cleaning Products selection. Browse the best Household Cleaners available.,['general_household_cleaning'],https://pay.4more.ca/product-category/general-household-cleaning/
1900,Audio,audio,Shop Audio | Latest Trends & Affordable Prices,"Browse our premium collection of audio. Shop top styles, quality brands, and exclusive deals online today!","['audio', 'buy audio', 'audio online']",https://pay.4more.ca/product-category/audio/
1998,Wiring & Cables,wiring-cables,Shop Wiring & Cables | Latest Trends & Affordable Prices,"Browse our premium collection of wiring & cables. Shop top styles, quality brands, and exclusive deals online today!","['wiring & cables', 'buy wiring & cables', 'wiring & cables online']",https://pay.4more.ca/product-category/wiring-cables/
2015,Ceiling Lights,ceiling-lights,Shop Ceiling Lights | Latest Trends & Affordable Prices,"Browse our premium collection of ceiling lights. Shop top styles, quality brands, and exclusive deals online today!","['ceiling lights', 'buy ceiling lights', 'ceiling lights online']",https://pay.4more.ca/product-category/ceiling-lights/
1945,Action Figures,action-figures,Shop Action Figures | Latest Trends & Affordable Prices,"Browse our premium collection of action figures. Shop top styles, quality brands, and exclusive deals online today!","['action figures', 'buy action figures', 'action figures online']",https://pay.4more.ca/product-category/action-figures/
1970,Electrical Tools,electrical-tools,Shop Electrical Tools | Latest Trends & Affordable Prices,"Browse our premium collection of electrical tools. Shop top styles, quality brands, and exclusive deals online today!","['electrical tools', 'buy electrical tools', 'electrical tools online']",https://pay.4more.ca/product-category/electrical-tools/
3309,Specialty & Heavy-Duty Cleaning,specialty-heavy-duty-cleaning,Specialty & Heavy-Duty Cleaners for Tough Messes,"For jobs that go beyond the everyday. Find powerful solutions like drain openers, outdoor pressure washer soaps, and specialty car cleaning products in our guide.","['specialty cleaners', 'heavy-duty cleaner', 'drain cleaner', 'pressure washer solutions', 'car cleaning products', 'tough stain remover.']",https://pay.4more.ca/product-category/specialty-heavy-duty-cleaning/
3264,Shoes,shoes,Shop Shoes | Latest Trends & Affordable Prices,"Browse our premium collection of shoes. Shop top styles, quality brands, and exclusive deals online today!","['shoes', 'buy shoes', 'shoes online']",https://pay.4more.ca/product-category/shoes/
2145,Nursing & Feeding,nursing-feeding,Shop Nursing & Feeding | Latest Trends & Affordable Prices,"Browse our premium collection of nursing & feeding. Shop top styles, quality brands, and exclusive deals online today!","['nursing & feeding', 'buy nursing & feeding', 'nursing & feeding online']",https://pay.4more.ca/product-category/nursing-feeding/
3310,Cables & Adapters,cables-adapters,Shop Cables & Adapters | Latest Trends & Affordable Prices,"Browse our premium collection of cables & adapters. Shop top styles, quality brands, and exclusive deals online today!","['cables & adapters', 'buy cables & adapters', 'cables & adapters online']",https://pay.4more.ca/product-category/cables-adapters/
2037,Smart Appliances,smart-appliances,Shop Smart Appliances | Latest Trends & Affordable Prices,"Browse our premium collection of smart appliances. Shop top styles, quality brands, and exclusive deals online today!","['smart appliances', 'buy smart appliances', 'smart appliances online']",https://pay.4more.ca/product-category/smart-appliances/
3311,Carpet & Upholstery Cleaners,carpet-upholstery-cleaners,Best Carpet & Upholstery Cleaners for Any Stain (2025),"From pet stain removers to deep cleaning shampoos, discover the best carpet and upholstery cleaners of 2025. Learn how to treat any fabric or stain at home.","['carpet cleaner', 'upholstery cleaner', 'best stain remover for carpet', 'sofa cleaner', 'how to clean upholstery', 'pet stain and odor remover', 'enzymatic cleaner', 'furniture cleaning codes.']",https://pay.4more.ca/product-category/carpet-upholstery-cleaners/
2080,Coffee & Tea,coffee-tea,Shop Coffee & Tea | Latest Trends & Affordable Prices,"Browse our premium collection of coffee & tea. Shop top styles, quality brands, and exclusive deals online today!","['coffee & tea', 'buy coffee & tea', 'coffee & tea online']",https://pay.4more.ca/product-category/coffee-tea/
